rodada,id,origem,categoria,pergunta,acc_t,f_resp,r_ctx,retentativa,retry_inferido,guarda_recuperou,aviso_fidelidade,latencia_total_s,motivos
rodada_1,D02,v2,robustez_linguistica,cpu do site ta ok?,PASS,PASS,,False,False,,,36.806,
rodada_1,D03,v2,robustez_linguistica,como tá a mem da vm de testes?,PASS,PASS,,False,False,,,40.348,
rodada_1,D04,v2,robustez_linguistica,o disco do site ta cheio?,PASS,PASS,,True,False,,,49.076,
rodada_1,D05,v2,robustez_linguistica,a rede de testes ta com erro?,PASS,PASS,,False,False,,,46.341,
rodada_1,D06,v2,robustez_linguistica,algum container morto em testes?,PASS,PASS,,False,False,,,29.938,
rodada_1,D07,v2,robustez_linguistica,quais containers tao comendo mais cpu em testes?,PASS,PASS,,False,False,,,41.969,
rodada_1,D08,v2,robustez_linguistica,mostra a saude dos conteineres do site,PASS,PASS,,True,False,,,109.196,
rodada_1,D09,v2,robustez_linguistica,como anda o kafka la em testes?,PASS,PASS,,False,False,,,77.802,
rodada_1,D10,v2,robustez_linguistica,saude geral da maquina de teste pfv,PASS,PASS,,False,False,,,80.069,
rodada_1,E01,v2,container_especifico,Como está o container c2ai-nodered em testes?,FAIL,REVISAR,,False,False,,,32.354,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_1,E02,v2,container_especifico,Como está o container plaforedu-db em testes?,FAIL,REVISAR,,False,False,,,37.402,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_1,E03,v2,container_especifico,Como está o gitlab-runner em testes?,FAIL,REVISAR,,False,False,,,32.746,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar
rodada_1,E04,v2,container_especifico,Como está o container postgres no site?,PASS,PASS,,False,False,,,34.014,
rodada_1,E05,v2,container_especifico,Como está o container mongodb em testes?,FAIL,PASS,,False,False,,,10.224,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma)
rodada_1,E06,v2,container_especifico,Como está o cadvisor no site?,FAIL,FAIL,,False,False,,,10.237,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: nenhuma) | nenhuma ferramenta executada
rodada_1,F01,v2,promql_cru,Execute a consulta PromQL: node_memory_MemAvailable_bytes,PASS,PASS,,False,False,,,48.624,
rodada_1,F02,v2,promql_cru,Rode em PromQL: up,PASS,REVISAR,,False,False,,,91.565,numeros sem par nos dados brutos (tolerancia 5%): [4.0]
rodada_1,F03,v2,promql_cru,Execute um query_range de node_cpu_seconds_total nos últimos 10 minutos.,FAIL,FAIL,,False,False,,,22.343,"erro na interacao: {""error"":{""code"":400,""message"":""request (2082 tokens) exceeds the available context size (2048 tokens), try increasing it"",""type"":""exceed_context_size_error"",""n_prompt_tokens"":2082,""n_ctx"":2048}} (status code: 400)"
rodada_1,F04,v2,promql_cru,Consulte via PromQL cru: container_memory_usage_bytes,PASS,PASS,,True,False,,,287.054,
rodada_1,G01,v2,cadeia_contexto,Como está a saúde da vm do site?,PASS,PASS,,False,False,,,132.823,
rodada_1,G02,v2,cadeia_contexto,E os containers?,FAIL,PASS,FAIL,True,False,,,296.073,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | alvo herdado esperado 'site', usado: ['testes']"
rodada_1,G03,v2,cadeia_contexto,E em testes?,PASS,PASS,PASS,False,False,,,331.414,
rodada_1,G04,v2,cadeia_contexto,Quais deles usam mais memória?,FAIL,REVISAR,FAIL,False,False,,,85.482,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar | alvo herdado esperado 'testes', usado: ['true']"
rodada_1,G05,v2,cadeia_contexto,Há anomalias na vm de testes?,PASS,PASS,,False,False,,,36.072,
rodada_1,G06,v2,cadeia_contexto,E na do site?,FAIL,FAIL,FAIL,False,False,,,9.105,"chamada esperada nao satisfeita: ['tool_detectar_anomalias'] (executadas: nenhuma) | nenhuma ferramenta executada | alvo herdado esperado 'site', usado: nenhum"
rodada_1,G07,v2,cadeia_contexto,Como está a CPU dela?,PASS,PASS,PASS,False,False,,,31.449,
rodada_1,G08,v2,cadeia_contexto,E a memória?,PASS,PASS,PASS,True,False,,,55.486,
