rodada,id,origem,categoria,arquivo_jsonl,linha_jsonl,pergunta,decisao_automatica,motivo_automatico,decisao_humana,acc_t_final,f_resp_final,r_ctx_final,justificativa,evidencia,fonte_decisao
rodada_2,E01,v2,container_especifico,resultados/rodada_2.jsonl,63,Como está o container c2ai-nodered em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_2,E02,v2,container_especifico,resultados/rodada_2.jsonl,64,Como está o container plaforedu-db em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_2,E03,v2,container_especifico,resultados/rodada_2.jsonl,65,Como está o gitlab-runner em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_2,F02,v2,promql_cru,resultados/rodada_2.jsonl,70,Rode em PromQL: up,acc_t=PASS f_resp=REVISAR r_ctx=None,numeros sem par nos dados brutos (tolerancia 5%): [4.0],correta,PASS,PASS,,"O valor sem par (4) e a contagem de series retornadas ('series retornadas=4'), nao uma metrica; todos os valores das series tem par nos dados brutos. Detalhe de apresentacao.","ferramentas=['prom_consulta_instantanea']; numeros_sem_par=[4.0]; resposta=Consulta PromQL: / Estado da coleta: success. / resultType=vector / séries retornadas=4 / - {__name__=""up"", instance=""localhost:18080"", job=""containers_vm_site_conect2a",derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_2,G04,v2,cadeia_contexto,resultados/rodada_2.jsonl,76,Quais deles usam mais memória?,acc_t=FAIL f_resp=REVISAR r_ctx=FAIL,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar | alvo herdado esperado 'testes', usado: ['true']",correta,FAIL,PASS,FAIL,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P05,v1,saude_geral,resultados/rodada_3.jsonl,5,Como está a saúde dos containers da MV do site?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P06,v1,saude_geral,resultados/rodada_3.jsonl,6,Como está a saúde dos containers da MV de testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P17,v1,contexto,resultados/rodada_3.jsonl,17,Quais containers mais usam memória?,acc_t=FAIL f_resp=REVISAR r_ctx=FAIL,"chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar | alvo herdado esperado 'testes', usado: ['site']",correta,FAIL,PASS,FAIL,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P21,v1,containers,resultados/rodada_3.jsonl,21,Como está o container API no site?,acc_t=PASS f_resp=REVISAR r_ctx=None,ausencia nao declarada explicitamente; auditar resposta,incorreta,PASS,FAIL,,"Esperava-se declarar a ausencia do container 'api' no site; a resposta ('Nenhum container inativo foi detectado') nao declara a ausencia (artigo, Sec. V: 'one answer that failed to state the absence of a container').",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Nenhum container inativo foi detectado.,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P22,v1,containers,resultados/rodada_3.jsonl,22,Como está o container Kafka em testes?,acc_t=PASS f_resp=REVISAR r_ctx=None,resposta sem valores numericos em pergunta de dados; auditar,correta,PASS,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Nenhum container inativo foi detectado.,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,P28,v1,anomalias,resultados/rodada_3.jsonl,28,Existe algum problema de rede na VM do site?,acc_t=PASS f_resp=REVISAR r_ctx=None,resposta sem valores numericos em pergunta de dados; auditar,correta,PASS,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_vm']; numeros_sem_par=[]; resposta=Nenhum problema de rede detectado na VM do site.,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,B05,v2,fora_de_escopo,resultados/rodada_3.jsonl,43,Como estava a CPU do site na semana passada?,acc_t=PASS f_resp=REVISAR r_ctx=None,rota tolerada: chamou ['tool_obter_saude_vm'] em pergunta de recusa; conferir se o limite foi comunicado na resposta | respondeu metricas da janela permitida em pergunta fora do limite; auditar se a resposta comunica a restricao de janela,incorreta,FAIL,FAIL,,Pergunta fora da janela maxima (1 h). O agente consultou a janela padrao (5 min) e reportou metricas sem comunicar a restricao; a rota tolerada exige comunicar o limite. Classificada incorreta em Acc_t e F_resp.,"ferramentas=['tool_obter_saude_vm']; numeros_sem_par=[]; resposta=Máquina do site:   / Na VM:   / Estado geral: ok.   / CPU: nível=ok, média=11.8%, pico=12.1%",derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,C02,v2,ambiguidade,resultados/rodada_3.jsonl,48,Há containers inativos?,acc_t=FAIL f_resp=REVISAR r_ctx=None,nao deveria chamar ferramenta; chamou ['tool_obter_saude_containers'] | resposta nao contem 'site ou testes'; auditar,correta,FAIL,PASS,,"Acc_t ja FAIL (assumiu alvo em vez de pedir clarificacao). Os numeros reportados tem par nos dados brutos da propria interacao: sem alucinacao, F_resp preservada.",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Nenhuma anomalia detectada em containers.,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,E01,v2,container_especifico,resultados/rodada_3.jsonl,63,Como está o container c2ai-nodered em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,E02,v2,container_especifico,resultados/rodada_3.jsonl,64,Como está o container plaforedu-db em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,E03,v2,container_especifico,resultados/rodada_3.jsonl,65,Como está o gitlab-runner em testes?,acc_t=FAIL f_resp=REVISAR r_ctx=None,chamada esperada nao satisfeita: ['tool_obter_saude_containers'] (executadas: ['tool_obter_saude_containers']) | resposta sem valores numericos em pergunta de dados; auditar,correta,FAIL,PASS,,"Resposta sem valores numericos: nenhum numero inventado nem reciclado; fidelidade preservada. Acc_t mantido como no avaliador automatico (alvo malformado ou ferramenta inadequada e falha de selecao, nao de fidelidade).",ferramentas=['tool_obter_saude_containers']; numeros_sem_par=[]; resposta=Qual ambiente você deseja consultar: site ou testes?,derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
rodada_3,F01,v2,promql_cru,resultados/rodada_3.jsonl,69,Execute a consulta PromQL: node_memory_MemAvailable_bytes,acc_t=PASS f_resp=REVISAR r_ctx=None,"numeros sem par nos dados brutos (tolerancia 5%): [3.036, 790.784]",correta,PASS,PASS,,3.036.790.784 e 3036790784 com separador de milhar; o valor esta nos dados brutos. Detalhe de apresentacao.,"ferramentas=['prom_consulta_instantanea']; numeros_sem_par=[3.036, 790.784]; resposta=No ambiente site, o valor de node_memory_MemAvailable_bytes é 3.036.790.784 bytes.",derivada da Secao V do artigo + inspecao do JSONL; confirmada pelo avaliador humano em 2026-08-22
